academie;longitude;lattitude
Nice;7.26;43.7
Aix-Marseille;5.375;43.3
Normandie;-0.5;49.25
Poitiers;0.33;46.58
Besançon;6.18;47.23
Toulouse;1.44;43.6
Bordeaux;-0.57;44.83
Montpellier;3.87;43.61
Rennes;-1.68;48.09
Orléans-Tours;1.9;47.8
Grenoble;5.73;45.18
Nantes;-1.55;47.22
Nancy-Metz;6.17;49.11
Lille;3.06;50.63
Clermont-Ferrand;3.08;45.77
Strasbourg;7.75;48.58
Lyon;4.83;45.76
Paris;2.35;48.85
Créteil;2.35;48.85
Amiens;2.28;49.88
Limoges;1.27;45.83
Versailles;2.13;48.8
Dijon;5.02;47.33
Reims;4.03;49.25
Corse;9;42
La Réunion;55.5;-21.1
Guadeloupe;-61.58;16.25
